fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fuseiso 20070708-8
fzf 0.43.0-1
gambas3-gb-poppler 3.18.4-3
gambas3-runtime 3.18.4-3
gameconqueror 0.17-7
gap 4.12.2-3
garcon 4.18.1-1
gavl 1.4.0-7
gawk 5.3.0-1
gc 8.2.4-1
gcab 1.6-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gcc12 12.3.0-3
gcc12-libs 12.3.0-3
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdal 3.7.3-2
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gegl 0.4.46-2
gentium-plus-font 6.200-1
geoclue 2.7.1-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
geoip 1.6.12-2
geoip-database 20230901-1
geoip-database-extra 20230901-1
geoipupdate 6.0.0-1
geos 3.12.0-1
gettext 0.22.3-1
gf2x 1.3.0-2
gfan 0.6.2-2
ghc-libs 9.0.2-3
ghostscript 10.02.1-1
giac 1.9.0.69-1
giflib 5.2.1-2
gimp 2.10.36-1
girara 0.4.0-1
git 2.42.1-1
git-annex 10.20230926-24
givaro 4.2.0-1
gjs 2:1.78.0-4
gl2ps 1.4.2-2
glew 2.2.0-6
glib-networking 1:2.78.0-1
glib-perl 1.329.3-4
glib2 2.78.1-1
glibc 2.38-7
glibmm 2.66.6-1
glibmm-2.68 2.78.0-1
glm 0.9.9.8-2
glpk 5.0-2
glslang 13.0.0-1
glu 9.0.3-1
glusterfs 1:11.0-1
gmic 3.3.2-1
gmp 6.3.0-1
gmp-ecm 7.0.5-1
gn 0.2124.e4702d74-1
gnome-autoar 0.4.4-1
gnome-backgrounds 45.0-1
gnome-boxes 45.0-1
gnome-calculator 45.0.2-1
gnome-calendar 45.1-1
gnome-characters 45.0-1
gnome-clocks 45.0-1
gnome-color-manager 3.36.0+r51+gcf7ee2b5-1
gnome-console 45.0-1
gnome-contacts 45.0-1
gnome-desktop 1:44.0-1
gnome-desktop-4 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-disk-utility 45.0-1
gnome-font-viewer 45.0-1
gnome-keyring 1:42.1-3
gnome-logs 45beta-1
gnome-maps 45.1-1
gnome-menus 3.36.0-2
gnome-music 1:45.0-1
gnome-online-accounts 3.48.0-2
gnome-photos 1:44.0-4
gnome-remote-desktop 45.1-1
gnome-session 45.0-1
gnome-software 45.1-1
gnome-system-monitor 45.0.2-1
gnome-text-editor 45.1-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnome-user-docs 45.1-1
gnome-user-share 43.0-1
gnome-video-effects 1:0.6.0-1
gnome-weather 45.0-1
gnu-free-fonts 20120503-8
gnupg 2.2.41-2
gnuradio 3.10.8.0-2
gnuradio-companion 3.10.8.0-2
gnuradio-iqbal 0.38.2.r9.gfbee239-5
gnuradio-osmosdr 0.2.4-8
gnutls 3.8.1-2
go 2:1.21.4-1
go-tools 4:0.14.0-1
gobject-introspection-runtime 1.78.1-1
golang-github-boombuler-barcode 1.0.1-1
golang-github-davecgh-go-spew 1.1.1-2
golang-github-golang-freetype 0.0.20170609-3
golang-github-jung-kurt-gofpdf 2.5.0-1
golang-github-pmezard-go-difflib 1.0.0-2
golang-github-ruudk-golang-pdf417 0.0.20181030-2
golang-github-stretchr-objx 0.3.0-1
golang-github-stretchr-testify 1.7.0-1
